Time,Closed Price,Volume
2022/01/10,127.6,36814976
2022/01/11,125.6,31659059
2022/01/12,133,44483108
2022/01/13,132.2,36032047
2022/01/14,129.3,28235556
2022/01/17,128.5,23534494
2022/01/18,126.4,23468279
2022/01/19,124.2,29730153
2022/01/20,131.5,44796183
2022/01/21,127.1,61817387
2022/01/24,119.1,54758602
2022/01/25,116.8,41283512
2022/01/26,116.9,35353738
2022/01/27,108.5,75467681
2022/01/28,110,43809950
2022/01/31,114,29579311
2022/02/04,120.4,43293069
2022/02/07,115,54757312
2022/02/08,111.2,41696354
2022/02/09,118.8,44480636
2022/02/10,122.2,32353947
2022/02/11,122.4,24203787
2022/02/14,118.7,19512374
2022/02/15,118.4,16132479
2022/02/16,122.5,20308833
2022/02/17,123,18965828
2022/02/18,119.5,36059936
2022/02/21,114.9,36333556
2022/02/22,111.4,43059975
2022/02/23,112.4,27244901
2022/02/24,104.9,64889871
2022/02/25,105.3,42605788
2022/02/28,104.2,56081193
2022/03/01,103.8,30377847
2022/03/02,103.9,32172998
2022/03/03,104.4,23582886
2022/03/04,99,67845622
2022/03/07,96,59539428
2022/03/08,96.9,49195657
2022/03/09,96.25,60560894
2022/03/10,96.1,46922499
2022/03/11,90.8,74997978
2022/03/14,80.9,99109140
2022/03/15,71.25,166892058
2022/03/16,90.7,159307067
2022/03/17,102,147199025
2022/03/18,98.35,69216323
2022/03/21,99.1,78145126
2022/03/22,110.2,82216795
2022/03/23,117.6,109736384
2022/03/24,113.8,56175392
2022/03/25,107.4,59754137
2022/03/28,111.1,35856686
2022/03/29,113.5,28129247
2022/03/30,113.9,43050119
2022/03/31,112.1,26780152
2022/04/01,109.7,38709405
2022/04/04,113.7,41875311
2022/04/06,107.6,46638063
2022/04/07,105.2,35575706
