Time,Closed Price,Volume
2022/01/10,50.3,34349600
2022/01/11,50.45,25715100
2022/01/12,50.8,31055700
2022/01/13,51.05,25005400
2022/01/14,50.8,21040200
2022/01/17,50.55,18569200
2022/01/18,50.6,15378900
2022/01/19,50.3,19059600
2022/01/20,50.5,28188900
2022/01/21,51.25,31089600
2022/01/24,52.3,48483900
2022/01/25,52.3,35164100
2022/01/26,53.4,43827600
2022/01/27,52.65,23387100
2022/01/28,52.55,17584100
2022/01/31,52.5,9134700
2022/02/04,54.35,35389700
2022/02/07,56,65236400
2022/02/08,56.25,58457800
2022/02/09,57.9,70626600
2022/02/10,56.3,63185600
2022/02/11,56.35,43171500
2022/02/14,55.25,34167400
2022/02/15,54.6,42705100
2022/02/16,55.6,23709300
2022/02/17,54.5,36958500
2022/02/18,54.8,25752900
2022/02/21,55.9,34989800
2022/02/22,55.3,29891000
2022/02/23,54.9,25961600
2022/02/24,54,34975000
2022/02/25,53.15,25537400
2022/02/28,52.8,32216500
2022/03/01,53.15,20309000
2022/03/02,52.25,19435700
2022/03/03,52.85,17982400
2022/03/04,52.05,24496500
2022/03/07,51.6,32809000
2022/03/08,51.15,33794800
2022/03/09,51,25285000
2022/03/10,51.75,23206000
2022/03/11,51.55,28993900
2022/03/14,50.55,40423600
2022/03/15,48.3,86240400
2022/03/16,50.2,45884400
2022/03/17,51.5,39248300
2022/03/18,52.9,35417200
2022/03/21,53.05,22394300
2022/03/22,54.1,34142600
2022/03/23,54.35,39529900
2022/03/24,56,70304400
2022/03/25,55.05,37835200
2022/03/28,55.3,36101600
2022/03/29,55.3,33317100
2022/03/30,54.6,35825500
2022/03/31,54.15,23710400
2022/04/01,54.5,14826300
2022/04/04,54.9,16827600
2022/04/06,55.35,28099500
2022/04/07,55.3,13333600
