Time,Closed Price,Volume
2022/01/10,439.876,19560800
2022/01/11,446.476,16405200
2022/01/12,466.665,28274500
2022/01/13,461.23,18308700
2022/01/14,459.483,13722800
2022/01/17,451.912,12682700
2022/01/18,439.488,23537800
2022/01/19,442.4,17490000
2022/01/20,471.6,29536300
2022/01/21,474.8,26820100
2022/01/24,469.6,14677200
2022/01/25,466.8,24998700
2022/01/26,473.6,21619300
2022/01/27,463,20507100
2022/01/28,460,15027500
2022/01/31,472,11429500
2022/02/04,479,15930500
2022/02/07,478,15382200
2022/02/08,470,18754200
2022/02/09,482.8,23365200
2022/02/10,484.4,18808700
2022/02/11,477,15523400
2022/02/14,472,12861300
2022/02/15,470,13889400
2022/02/16,476.2,12209600
2022/02/17,479,12923900
2022/02/18,470,24033000
2022/02/21,445.4,46042500
2022/02/22,444.8,30562900
2022/02/23,445,20241600
2022/02/24,427.8,33972100
2022/02/25,424,25527600
2022/02/28,421.2,26849300
2022/03/01,431,19309000
2022/03/02,423.4,14011700
2022/03/03,418.8,19870100
2022/03/04,403.2,41553100
2022/03/07,388,39878600
2022/03/08,383.2,32260700
2022/03/09,384.8,33209700
2022/03/10,385,24062700
2022/03/11,367.8,48435600
2022/03/14,331.8,66910200
2022/03/15,298,118398300
2022/03/16,367,107736900
2022/03/17,390,69692600
2022/03/18,381,37714600
2022/03/21,372.4,30703000
2022/03/22,388,31006100
2022/03/23,389,42256900
2022/03/24,366,46931500
2022/03/25,356.4,38297100
2022/03/28,366.4,26933300
2022/03/29,377.2,20902000
2022/03/30,380.6,26951900
2022/03/31,374.2,14589600
2022/04/01,378.8,14496700
2022/04/04,390,15665600
2022/04/06,381,17127900
2022/04/07,374.4,15874100
